Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,23.820000,23.830000,22.680000,23.750000,23.740427,439000
2020-03-03,24.459999,24.750000,23.129999,23.240000,23.230633,561700
2020-03-04,23.639999,23.870001,22.820000,23.809999,23.800404,402900
2020-03-05,23.080000,23.080000,21.600000,21.660000,21.651270,1093500
2020-03-06,21.090000,22.469999,20.770000,21.930000,21.921162,2370100
2020-03-09,21.000000,21.780001,20.200001,20.440001,20.431763,2032100
2020-03-10,21.379999,21.790001,20.059999,21.700001,21.691256,1578200
2020-03-11,21.080000,21.080000,19.870001,20.180000,20.171867,1099800
2020-03-12,18.240000,19.610001,16.760000,16.790001,16.783234,1848200
2020-03-13,19.870001,19.879999,16.690001,18.209999,18.202660,1955000
2020-03-16,16.260000,16.760000,15.250000,16.219999,16.213463,2540900
2020-03-17,16.639999,17.285999,15.281000,15.980000,15.973558,2049700
2020-03-18,14.910000,14.950000,11.670000,12.760000,12.754857,3329900
2020-03-19,12.680000,12.830000,11.250000,12.160000,12.155099,2956700
2020-03-20,12.870000,14.070000,12.320000,12.490000,12.484965,2439500
2020-03-23,12.840000,12.980000,12.100000,12.580000,12.574929,2416800
2020-03-24,14.340000,15.540000,14.000000,14.970000,14.963966,3442600
2020-03-25,16.900000,17.240000,15.151000,16.320000,16.313421,5416800
2020-03-26,16.980000,18.049999,16.400000,16.820000,16.813221,3943000
2020-03-27,16.510000,16.549999,15.410000,15.550000,15.543733,2307000
2020-03-30,15.000000,15.150000,14.010000,14.600000,14.594116,1872600
2020-03-31,14.960000,15.370000,14.570000,14.730000,14.724063,1057900
2020-04-01,14.090000,14.120000,13.070000,13.100000,13.094721,2160600
2020-04-02,13.300000,13.340000,12.610000,12.660000,12.654898,1725300
2020-04-03,12.960000,12.960000,11.950000,12.300000,12.295043,2806000
2020-04-06,12.850000,13.100000,12.359000,12.810000,12.804837,3125200
2020-04-07,14.290000,14.880000,13.280000,13.410000,13.404595,3991400
2020-04-08,14.070000,14.360000,13.750000,14.260000,14.254252,2791800
2020-04-09,15.410000,15.910000,14.720000,15.300000,15.293834,5727300
2020-04-13,15.820000,15.840000,14.160000,14.560000,14.554132,2955800
2020-04-14,15.150000,15.500000,14.950000,15.010000,15.003950,3309400
2020-04-15,15.320000,15.340000,14.370000,14.790000,14.784039,4200700
2020-04-16,14.560000,14.560000,13.730000,13.810000,13.804435,3070700
2020-04-17,14.760000,14.760000,14.250000,14.350000,14.344216,3145100
2020-04-20,14.070000,14.220000,13.650000,13.990000,13.984361,2185400
2020-04-21,13.750000,13.980000,13.550000,13.730000,13.724465,2187000
2020-04-22,13.950000,13.990000,13.130000,13.400000,13.394599,2610400
2020-04-23,13.540000,13.785000,13.400000,13.400000,13.394599,1646000
2020-04-24,13.550000,13.600000,13.060000,13.360000,13.354615,1434800
2020-04-27,13.610000,13.750000,13.330000,13.410000,13.404595,2460500
2020-04-28,13.740000,14.650000,13.640000,14.430000,14.424185,4933600
2020-04-29,15.010000,15.854000,15.000000,15.630000,15.623700,6854900
2020-04-30,15.430000,15.565000,14.750000,15.190000,15.183877,6103500
2020-05-01,14.600000,14.750000,13.900000,14.090000,14.084321,3464700
2020-05-04,13.000000,13.540000,12.660000,13.480000,13.474566,5295600
2020-05-05,13.850000,13.910000,13.060000,13.110000,13.104715,3756400
2020-05-06,13.220000,13.260000,12.600000,12.710000,12.704877,3898700
2020-05-07,12.740000,13.120000,12.670000,12.800000,12.794841,4188200
2020-05-08,13.090000,13.640000,13.070000,13.640000,13.634502,4099600
2020-05-11,13.380000,13.510000,13.020000,13.250000,13.244659,2709100
2020-05-12,13.280000,13.430000,12.670000,12.680000,12.674890,3375900
2020-05-13,12.710000,12.710000,11.910000,12.150000,12.145103,4442500
2020-05-14,11.830000,12.190000,11.270000,12.150000,12.145103,3832500
2020-05-15,11.960000,12.265000,11.800000,12.000000,11.995163,2006600
2020-05-18,12.840000,13.400000,12.720000,13.390000,13.384604,6350800
2020-05-19,13.810000,13.850000,13.104000,13.210000,13.204676,4051700
2020-05-20,13.550000,13.820000,13.469000,13.690000,13.684482,4402100
2020-05-21,13.820000,14.180000,13.760000,13.920000,13.914390,4055800
2020-05-22,14.040000,14.090000,13.510000,13.700000,13.694478,2985300
2020-05-26,14.780000,15.440000,14.760000,15.310000,15.303830,7031800
2020-05-27,16.590000,16.600000,15.120000,15.990000,15.983555,12641900
2020-05-28,16.010000,16.020000,15.240000,15.340000,15.333817,6555700
2020-05-29,14.900000,15.330000,14.750000,15.090000,15.083919,4106600
2020-06-01,15.220000,15.940000,15.160000,15.670000,15.663684,6237100
2020-06-02,15.970000,16.129999,15.720000,16.010000,16.003548,5877200
2020-06-03,16.450001,17.350000,16.351999,17.180000,17.173077,11285800
2020-06-04,18.010000,19.680000,17.549999,19.170000,19.162273,22983800
2020-06-05,22.049999,22.100000,19.650000,20.090000,20.081903,25463200
2020-06-08,21.180000,21.950001,20.809999,21.940001,21.931158,18657300
2020-06-09,20.650000,20.799999,19.770000,20.459999,20.451754,13007200
2020-06-10,19.629999,19.740000,18.250000,18.920000,18.912374,18428300
2020-06-11,16.590000,17.670000,16.350000,16.490000,16.483353,15848500
2020-06-12,18.139999,18.520000,17.320000,18.260000,18.252640,11841600
2020-06-15,17.129999,18.299999,17.000000,18.110001,18.102701,10532800
2020-06-16,19.240000,19.325001,18.120001,18.469999,18.462555,8430000
2020-06-17,18.290001,18.330000,17.850000,18.129999,18.122692,3908600
2020-06-18,17.770000,18.299999,17.690001,18.049999,18.042725,4100100
2020-06-19,18.330000,18.360001,17.260000,17.570000,17.562918,4856300
2020-06-22,17.240000,17.497999,17.120001,17.290001,17.283031,6821700
2020-06-23,17.270000,17.360001,16.915001,17.350000,17.343008,9961200
2020-06-24,16.940001,17.000000,16.180000,16.330000,16.323418,7486200
2020-06-25,15.940000,16.610001,15.820000,16.580000,16.573317,4580200
2020-06-26,16.510000,16.540001,15.770000,16.020000,16.013544,4265000
2020-06-29,16.170000,16.893999,15.890000,16.830000,16.823217,4829400
2020-06-30,16.690001,16.825001,16.356001,16.650000,16.643290,2472500
2020-07-01,16.980000,17.350000,16.430000,16.520000,16.513342,3782500
2020-07-02,17.000000,17.094999,16.549999,16.590000,16.583313,3068500
2020-07-06,16.959999,17.100000,16.540001,16.959999,16.953163,3004600
2020-07-07,16.639999,16.650000,16.260000,16.299999,16.293430,2245000
2020-07-08,16.100000,16.379999,15.960000,16.330000,16.323418,2762800
2020-07-09,16.180000,16.225000,15.540000,15.610000,15.603708,3329000
2020-07-10,15.470000,16.205000,15.420000,16.180000,16.173479,2800800
2020-07-13,16.280001,16.365000,15.860000,15.930000,15.923580,3635300
2020-07-14,15.630000,16.070000,15.600000,16.000000,15.993551,2381200
2020-07-15,16.760000,17.309999,16.540001,17.240000,17.233051,8268200
2020-07-16,16.860001,16.910000,16.530001,16.670000,16.663280,3356000
2020-07-17,16.660000,16.770000,16.430000,16.490000,16.483353,2392700
2020-07-20,16.430000,16.549999,16.049999,16.129999,16.123499,2586500
2020-07-21,16.309999,16.469999,16.209999,16.270000,16.263443,2394200
2020-07-22,16.209999,16.385000,16.120001,16.200001,16.193472,1532300
2020-07-23,16.110001,16.719999,15.900000,16.290001,16.283436,4920800
2020-07-24,16.129999,16.180000,15.860000,15.930000,15.923580,5440100
2020-07-27,15.940000,16.020000,15.750000,15.840000,15.833616,3531800
2020-07-28,15.720000,16.221001,15.710000,16.059999,16.053526,4100800
2020-07-29,16.100000,16.139999,15.727000,15.870000,15.863604,2263100
2020-07-30,15.600000,15.705000,15.510000,15.630000,15.623700,2100100
2020-07-31,15.540000,15.580000,15.180000,15.440000,15.433777,3231800
2020-08-03,15.410000,15.600000,15.169000,15.520000,15.513745,2819300
2020-08-04,15.560000,15.960000,15.560000,15.750000,15.743652,2677000
2020-08-05,16.080000,16.455000,15.850000,16.280001,16.273439,5076300
2020-08-06,16.549999,16.740000,16.250000,16.639999,16.633293,6738500
2020-08-07,16.520000,16.650000,16.320000,16.650000,16.643290,2860000
2020-08-10,16.809999,17.475000,16.780001,17.450001,17.442968,10192800
2020-08-11,18.200001,18.280001,17.559999,17.629999,17.622894,11425800
2020-08-12,18.010000,18.010000,17.309999,17.549999,17.542925,5456400
2020-08-13,17.340000,17.740000,17.219999,17.309999,17.303022,3286600
2020-08-14,17.150000,17.410000,17.070000,17.370001,17.363001,3659300
2020-08-17,17.389999,17.410000,16.820000,16.860001,16.853205,3752800
2020-08-18,16.910000,17.000000,16.650000,16.770000,16.763241,2496200
2020-08-19,16.940001,17.400000,16.740000,16.809999,16.803225,6443500
2020-08-20,16.600000,16.850000,16.459999,16.780001,16.773237,4100100
2020-08-21,16.719999,16.860001,16.600000,16.639999,16.633293,1955500
2020-08-24,17.000000,17.570000,16.730000,17.570000,17.562918,6643500
2020-08-25,17.770000,17.879999,17.260000,17.540001,17.532932,5122300
2020-08-26,17.520000,17.530001,17.260000,17.290001,17.283031,3755400
2020-08-27,17.670000,18.250000,17.610001,17.830000,17.822813,8307900
2020-08-28,18.120001,18.309999,17.840000,18.299999,18.292624,7151900
2020-08-31,18.290001,18.290001,17.760000,17.760000,17.752842,4984300
2020-09-01,17.559999,18.120001,17.389999,17.770000,17.762838,4924100
2020-09-02,17.820000,18.080000,17.559999,18.040001,18.032730,4253200
2020-09-03,18.160000,18.740000,17.690001,18.000000,17.992744,8995200
2020-09-04,18.240000,18.458000,17.709999,18.250000,18.242645,7907100
2020-09-08,18.080000,18.530001,17.920000,18.260000,18.252640,10162000
2020-09-09,18.230000,18.240000,17.750000,17.969999,17.962757,5379500
2020-09-10,18.100000,18.360001,17.870001,17.940001,17.932770,6733700
2020-09-11,18.010000,18.049999,17.750000,17.930000,17.922773,4088400
2020-09-14,18.160000,18.360001,18.020000,18.330000,18.322613,4051400
2020-09-15,18.459999,18.719999,18.282000,18.400000,18.392584,5364400
2020-09-16,18.459999,19.139999,18.260000,18.889999,18.882385,6363000
2020-09-17,18.520000,19.018999,18.469999,18.690001,18.682468,4297100
2020-09-18,18.610001,18.629999,18.020000,18.150000,18.142685,4334400
2020-09-21,17.480000,17.500000,16.760000,16.980000,16.973156,6609500
2020-09-22,17.010000,17.230000,16.809999,17.020000,17.013140,5992200
2020-09-23,17.209999,17.410000,16.680000,16.700001,16.693270,4439600
2020-09-24,16.510000,16.780001,16.020000,16.559999,16.553326,5246300
2020-09-25,16.530001,16.770000,16.340000,16.760000,16.753244,2851700
2020-09-28,17.160000,17.580000,17.040001,17.299999,17.293026,3811000
2020-09-29,17.219999,17.240000,16.771000,16.860001,16.853205,2869700
2020-09-30,16.990000,17.430000,16.850000,16.900000,16.893188,3489200
2020-10-01,17.070000,17.200001,16.905001,17.120001,17.113100,2677100
2020-10-02,16.559999,17.549999,16.521000,17.330000,17.323015,7468300
2020-10-05,17.510000,17.580000,17.270000,17.459999,17.452961,2919900
2020-10-06,17.680000,17.865000,17.135000,17.170000,17.163080,6027000
2020-10-07,17.580000,17.730000,17.475000,17.650000,17.642885,3637900
2020-10-08,17.940001,18.070000,17.559999,17.959999,17.952761,6049100
2020-10-09,18.000000,18.180000,17.750999,17.990000,17.982748,4828000
2020-10-12,18.010000,18.040001,17.809999,17.910000,17.902781,6777800
2020-10-13,17.690001,17.700001,17.459999,17.520000,17.512939,5412300
2020-10-14,17.570000,17.790001,17.540001,17.559999,17.552921,2338200
2020-10-15,17.290001,17.420000,17.075001,17.410000,17.402983,3029600
2020-10-16,17.500000,17.559999,17.350000,17.490000,17.482950,1909400
2020-10-19,17.660000,17.990000,17.570000,17.680000,17.672874,4838800
2020-10-20,17.850000,18.139999,17.820000,17.959999,17.952761,3826400
2020-10-21,17.969999,17.969999,17.745001,17.799999,17.792826,2526900
2020-10-22,17.820000,18.570000,17.820000,18.530001,18.522532,5440600
2020-10-23,18.520000,18.709999,18.330000,18.680000,18.672472,4944800
2020-10-26,18.320000,18.351999,17.570000,17.780001,17.772835,6679200
2020-10-27,17.799999,17.799999,17.250000,17.280001,17.273037,3089400
2020-10-28,16.830000,16.920000,16.340000,16.510000,16.503345,6348800
2020-10-29,16.500000,16.980000,16.459999,16.930000,16.923176,2949100
2020-10-30,16.790001,16.980000,16.565001,16.920000,16.913181,2693800
2020-11-02,17.000000,17.020000,16.725000,16.940001,16.933172,1845000
